STATECODE,Division,RegionCode
AL,South,1
AK,West,2
AZ,West,2
AR,South,1
CA,West,2
CO,West,2
CT,Northeast,3
DE,South,1
FL,South,1
GA,South,1
HI,West,2
ID,West,2
IL,Midwest,4
IN,Midwest,4
IA,Midwest,4
KS,Midwest,4
KY,South,1
LA,South,1
ME,Northeast,3
MD,South,1
MA,Northeast,3
MI,Midwest,4
MN,Midwest,4
MS,South,1
MO,Midwest,4
MT,West,2
NE,Midwest,4
NV,West,2
NH,Northeast,3
NJ,Northeast,3
NM,West,2
NY,Northeast,3
NC,South,1
ND,Midwest,4
OH,Midwest,4
OK,South,1
OR,West,2
PA,Northeast,3
RI,Northeast,3
SC,South,1
SD,Midwest,4
TN,South,1
TX,South,1
UT,West,2
VT,Northeast,3
VA,South,1
WA,West,2
WV,South,1
WI,Midwest,4
WY,West,2
GU,OT,5
VI,OT,5
PR,OT,5
MP,OT,5
PW,OT,5
FM,OT,5
DC,Northeast,3
